Clone	CultureTube	CultureDay	DayPair	Replicate	CountDay	WTCount	EvoCount	pWT	pEvo	pH
403-1	Glass	0	10	Rep4	1	6.40E+06	2.60E+06	7.11E-01	2.89E-01	7
403-2	Glass	0	1	Rep1	1	2.80E+06	7.20E+06	2.80E-01	7.20E-01	7
403-2	Glass	0	1	Rep2	1	4.90E+06	9.10E+06	3.50E-01	6.50E-01	7
403-2	Glass	0	1	Rep3	1	4.10E+06	1.22E+07	2.52E-01	7.48E-01	7
403-2	Glass	0	1	Rep4	1	4.70E+06	7.90E+06	3.73E-01	6.27E-01	7
403-2	Glass	0	4	Rep1	1	5.80E+06	1.21E+07	3.24E-01	6.76E-01	7
403-2	Glass	0	4	Rep2	1	4.10E+06	1.18E+07	2.58E-01	7.42E-01	7
403-2	Glass	0	4	Rep3	1	3.90E+06	7.70E+06	3.36E-01	6.64E-01	7
403-2	Glass	0	4	Rep4	1	6.40E+06	1.07E+07	3.74E-01	6.26E-01	7
403-2	Glass	0	10	Rep1	1	4.70E+06	1.13E+07	2.94E-01	7.06E-01	7
403-2	Glass	0	10	Rep2	1	3.60E+06	8.10E+06	3.08E-01	6.92E-01	7
403-2	Glass	0	10	Rep3	1	4.60E+06	1.15E+07	2.86E-01	7.14E-01	7
403-2	Glass	0	10	Rep4	1	4.40E+06	8.00E+06	3.55E-01	6.45E-01	7
403-5	Glass	0	1	Rep1	1	4.00E+06	9.80E+06	2.90E-01	7.10E-01	7
403-5	Glass	0	1	Rep2	1	5.10E+06	9.60E+06	3.47E-01	6.53E-01	7
403-5	Glass	0	1	Rep3	1	3.80E+06	5.80E+06	3.96E-01	6.04E-01	7
403-5	Glass	0	1	Rep4	1	5.10E+06	1.05E+07	3.27E-01	6.73E-01	7
403-5	Glass	0	4	Rep1	1	3.80E+06	8.00E+06	3.22E-01	6.78E-01	7
403-5	Glass	0	4	Rep2	1	3.50E+06	8.00E+06	3.04E-01	6.96E-01	7
403-5	Glass	0	4	Rep3	1	3.50E+06	7.80E+06	3.10E-01	6.90E-01	7
403-5	Glass	0	4	Rep4	1	5.10E+06	8.80E+06	3.67E-01	6.33E-01	7
403-5	Glass	0	10	Rep1	1	8.00E+06	8.20E+06	4.94E-01	5.06E-01	7
403-5	Glass	0	10	Rep2	1	5.80E+06	9.80E+06	3.72E-01	6.28E-01	7
403-5	Glass	0	10	Rep3	1	4.10E+06	8.40E+06	3.28E-01	6.72E-01	7
403-5	Glass	0	10	Rep4	1	6.30E+06	1.03E+07	3.80E-01	6.20E-01	7
403-1	Glass	1	1	Rep1	1	1.21E+09	5.00E+08	7.08E-01	2.92E-01	7.37
403-1	Glass	1	1	Rep2	1	1.01E+09	5.10E+08	6.64E-01	3.36E-01	7.81
403-1	Glass	1	1	Rep3	1	1.00E+09	4.20E+08	7.04E-01	2.96E-01	8.13
403-1	Glass	1	1	Rep4	1	1.18E+09	3.50E+08	7.71E-01	2.29E-01	8.06
403-2	Glass	1	1	Rep1	1	1.05E+09	6.70E+08	6.10E-01	3.90E-01	7.69
403-2	Glass	1	1	Rep2	1	8.60E+08	4.50E+08	6.56E-01	3.44E-01	7.73
403-2	Glass	1	1	Rep3	1	1.03E+09	7.90E+08	5.66E-01	4.34E-01	8.2
403-2	Glass	1	1	Rep4	1	1.04E+09	6.60E+08	6.12E-01	3.88E-01	8.19
403-5	Glass	1	1	Rep1	1	6.00E+08	7.50E+08	4.44E-01	5.56E-01	7.43
403-5	Glass	1	1	Rep2	1	7.40E+08	8.60E+08	4.63E-01	5.38E-01	8.13
403-5	Glass	1	1	Rep3	1	5.90E+08	9.80E+08	3.76E-01	6.24E-01	8.14
403-5	Glass	1	1	Rep4	1	6.70E+08	1.82E+09	2.69E-01	7.31E-01	8.06
403-1	Glass	4	4	Rep1	1	1.30E+08	6.90E+08	1.59E-01	8.41E-01	8.75
403-1	Glass	4	4	Rep2	1	5.40E+07	1.72E+08	2.39E-01	7.61E-01	8.83
403-1	Glass	4	4	Rep3	1	2.00E+07	2.80E+08	6.67E-02	9.33E-01	8.82
403-1	Glass	4	4	Rep4	1	1.00E+08	3.80E+08	2.08E-01	7.92E-01	8.8
403-2	Glass	4	4	Rep1	1	2.00E+07	3.80E+08	5.00E-02	9.50E-01	8.86
403-2	Glass	4	4	Rep2	1	1.90E+08	4.90E+08	2.79E-01	7.21E-01	8.77
403-2	Glass	4	4	Rep3	1	3.00E+07	2.60E+08	1.03E-01	8.97E-01	8.86
403-2	Glass	4	4	Rep4	1	1.50E+08	1.10E+08	5.77E-01	4.23E-01	8.47
403-5	Glass	4	4	Rep1	1	4.00E+06	2.40E+08	1.64E-02	9.84E-01	8.86
403-5	Glass	4	4	Rep2	1	5.00E+06	3.90E+08	1.27E-02	9.87E-01	8.88
403-5	Glass	4	4	Rep3	1	3.60E+08	5.10E+08	4.14E-01	5.86E-01	8.5
403-5	Glass	4	4	Rep4	1	7.60E+08	5.50E+08	5.80E-01	4.20E-01	8.18
403-1	Glass	10	10	Rep1	1	1.00E+06	1.53E+08	0.00E+00	1.00E+00	9.07
403-1	Glass	10	10	Rep2	1	1.00E+05	4.20E+07	0.00E+00	1.00E+00	9.02
403-1	Glass	10	10	Rep3	1	1.00E+05	2.10E+07	0.00E+00	1.00E+00	9.07
403-1	Glass	10	10	Rep4	1	7.00E+05	5.40E+07	1.28E-02	9.87E-01	8.9
403-2	Glass	10	10	Rep1	1	1.00E+06	1.16E+08	0.00E+00	1.00E+00	9.03
403-2	Glass	10	10	Rep2	1	1.00E+05	2.10E+07	0.00E+00	1.00E+00	9.08
403-2	Glass	10	10	Rep3	1	1.10E+06	1.38E+08	7.91E-03	9.92E-01	8.82
403-2	Glass	10	10	Rep4	1	1.00E+06	1.02E+08	9.71E-03	9.90E-01	8.8
403-5	Glass	10	10	Rep1	1	1.00E+05	8.10E+07	0.00E+00	1.00E+00	9.02
403-5	Glass	10	10	Rep2	1	1.00E+06	1.39E+08	0.00E+00	1.00E+00	8.98
403-5	Glass	10	10	Rep3	1	1.00E+07	1.81E+08	5.24E-02	9.48E-01	8.73
403-5	Glass	10	10	Rep4	1	2.00E+06	2.66E+08	7.46E-03	9.93E-01	8.74
